model_kind,horizon,metric,samples,estimate,ci95_low,ci95_high,bootstrap_samples,bootstrap_block_size
ensemble,24h,mase,168,0.540381084426062,0.44099624880382826,0.6424379108281317,300,11
lstm,24h,mase,168,0.8272360169418014,0.6573300006842816,1.0009928901926937,300,11
sarima,24h,mase,168,0.5726973970087895,0.4661871610204432,0.6953527235410153,300,11
ensemble,30d,mase,4928,0.6835749080834902,0.6593358175818496,0.7070018564747124,300,34
lstm,30d,mase,4928,1.8409464997648481,1.7864060195574123,1.9031186256127035,300,34
sarima,30d,mase,4928,0.594522319024059,0.5775789214537828,0.6121566794937398,300,34
ensemble,7d,mase,1176,0.672999510766291,0.6227354631209858,0.7151596026384739,300,21
lstm,7d,mase,1176,1.4438567273558205,1.3363976230212145,1.5561029027374051,300,21
sarima,7d,mase,1176,0.5797389709546804,0.5474349183188182,0.6143968092670445,300,21
ensemble,24h,pinball_avg,168,14.001672051533822,9.234647667576203,19.69628834000384,300,11
lstm,24h,pinball_avg,168,22.1635354278501,15.419763797320735,29.596086494258802,300,11
sarima,24h,pinball_avg,168,14.72819685181867,9.235655808448481,20.329274172381545,300,11
ensemble,30d,pinball_avg,4928,12.563351066664554,11.959828042096916,13.222198098090981,300,34
lstm,30d,pinball_avg,4928,61.71601835632509,59.40818378332598,64.36672403134082,300,34
sarima,30d,pinball_avg,4928,13.191968803831026,12.195313028055988,14.087140818445198,300,34
ensemble,7d,pinball_avg,1176,12.359427669695268,10.829898962429136,13.885910939199563,300,21
lstm,7d,pinball_avg,1176,43.46844887817601,38.795046931087285,47.45663670622498,300,21
sarima,7d,pinball_avg,1176,13.539898697537646,11.506973875100245,15.501242696480924,300,21
ensemble,24h,rmse,168,101.86472747497153,68.58893110810045,131.42062475637854,300,11
lstm,24h,rmse,168,136.70818884936457,99.85100187671763,165.94830786863707,300,11
sarima,24h,rmse,168,105.87346099028007,68.23531018351902,136.5848809380625,300,11
ensemble,30d,rmse,4928,89.53517508607658,84.25339805950708,95.83352995929913,300,34
lstm,30d,rmse,4928,274.28904420982803,266.9690062647686,281.45668562706146,300,34
sarima,30d,rmse,4928,86.20878144782178,80.14894200317957,91.81531525703019,300,34
ensemble,7d,rmse,1176,88.48378452169037,76.53358864456683,99.56831349131083,300,21
lstm,7d,rmse,1176,209.6492599713445,193.76156643408459,224.08178272342784,300,21
sarima,7d,rmse,1176,89.08093752963853,77.4099061573464,100.70713021657835,300,21
