model_kind,horizon,metric,samples,estimate,ci95_low,ci95_high,bootstrap_samples,bootstrap_block_size
ensemble,24h,mase,168,0.43328520846956553,0.36435088911706165,0.49977767814696783,300,11
lstm,24h,mase,168,0.6298914177825815,0.529942832151218,0.7562262884660765,300,11
sarima,24h,mase,168,0.4410595168403879,0.3789778660831152,0.5063925327841202,300,11
ensemble,30d,mase,4914,0.6520914744144581,0.6306062427630146,0.6719222975765428,300,34
lstm,30d,mase,4914,1.3391616880905521,1.2968554684787095,1.3880511303937102,300,34
sarima,30d,mase,4914,0.4680917383188521,0.45806920101786724,0.4786906014023317,300,34
ensemble,7d,mase,1176,0.6853059633534664,0.6360524970778298,0.7252425106522266,300,21
lstm,7d,mase,1176,1.0060244135192098,0.9270256989589677,1.0775067190170016,300,21
sarima,7d,mase,1176,0.46392930308871494,0.44187075431591777,0.48327338368645173,300,21
ensemble,24h,pinball_avg,168,10.90280315041328,7.883203771891632,13.80144210824566,300,11
lstm,24h,pinball_avg,168,17.624279161096844,11.549352839746689,23.773036001770635,300,11
sarima,24h,pinball_avg,168,8.348668640178811,6.279177451824746,10.610341233919987,300,11
ensemble,30d,pinball_avg,4914,12.539467819221453,11.656121454703126,13.365616656897656,300,34
lstm,30d,pinball_avg,4914,47.925773956602505,45.65452520783304,49.924178139367406,300,34
sarima,30d,pinball_avg,4914,9.547604831258813,9.027416229567612,10.018623145041921,300,34
ensemble,7d,pinball_avg,1176,17.332268201332937,15.540602484923099,18.890961036994174,300,21
lstm,7d,pinball_avg,1176,32.4932333402303,28.87650804480596,35.95486134814784,300,21
sarima,7d,pinball_avg,1176,8.990182827812237,8.051123121980966,9.87771000541737,300,21
ensemble,24h,rmse,168,70.56204757450082,56.08588636721681,82.8788562988351,300,11
lstm,24h,rmse,168,111.29285275838795,83.1368974219505,137.7782306848624,300,11
sarima,24h,rmse,168,55.222305009042564,41.217996541103595,66.35973324352322,300,11
ensemble,30d,rmse,4914,86.78484569668638,81.6775784453915,91.75635458900774,300,34
lstm,30d,rmse,4914,218.3881190083074,211.68627573300995,225.04309764693056,300,34
sarima,30d,rmse,4914,61.70319006524758,59.334658029603695,64.58081897001834,300,34
ensemble,7d,rmse,1176,110.26620882988205,99.92232285650302,119.88573009356357,300,21
lstm,7d,rmse,1176,163.6580275399331,149.20621374600353,176.14446968094992,300,21
sarima,7d,rmse,1176,58.4827023568406,53.490079847136975,63.88209926381343,300,21
