model_kind,horizon,metric,samples,estimate,ci95_low,ci95_high,bootstrap_samples,bootstrap_block_size
ensemble,24h,mase,168,0.42825217184693926,0.36836246430996644,0.47906169895173845,300,11
lstm,24h,mase,168,0.5707953216183979,0.46512097495716925,0.6733793210874739,300,11
sarima,24h,mase,168,0.4661360056228747,0.4233939796871768,0.5019934255876476,300,11
ensemble,30d,mase,5019,0.42966948559706386,0.4190159929082377,0.4399934977830387,300,34
lstm,30d,mase,5019,0.5343782279934747,0.5157592437967221,0.5546440587805278,300,34
sarima,30d,mase,5019,0.4680822796002644,0.45737799354006087,0.47843524291022055,300,34
ensemble,7d,mase,1176,0.41798776440574875,0.3980590507000309,0.43619319234477116,300,21
lstm,7d,mase,1176,0.5056592759709163,0.4696631164951235,0.5392563143514895,300,21
sarima,7d,mase,1176,0.4697710766027274,0.4514081410840562,0.4869353961310533,300,21
ensemble,24h,pinball_avg,168,9.35785875864365,7.499704201547185,11.785167461010166,300,11
lstm,24h,pinball_avg,168,14.811746180705159,8.726011586969623,21.24125996200558,300,11
sarima,24h,pinball_avg,168,9.571310844661475,7.642698443938845,11.83923661129281,300,11
ensemble,30d,pinball_avg,5019,9.496454199821272,9.042895310953334,10.01245315947329,300,34
lstm,30d,pinball_avg,5019,14.43336019383261,13.374379339847529,15.411014638761403,300,34
sarima,30d,pinball_avg,5019,9.664809911483268,9.196025802924915,10.130900036937215,300,34
ensemble,7d,pinball_avg,1176,8.905920438573576,7.940291514668642,9.846243852781184,300,21
lstm,7d,pinball_avg,1176,12.737331294497553,10.710698574539876,14.533936412701573,300,21
sarima,7d,pinball_avg,1176,9.21375955230265,8.282380621760336,10.079123897672927,300,21
ensemble,24h,rmse,168,58.804615927246196,46.9009769989793,69.30571867121716,300,11
lstm,24h,rmse,168,102.6860264745945,66.82670948597405,136.67010913779293,300,11
sarima,24h,rmse,168,60.340925350042426,50.84672154571749,69.35079383849295,300,11
ensemble,30d,rmse,5019,61.04160967755889,58.61375589717383,63.40608189543899,300,34
lstm,30d,rmse,5019,95.87094934315286,89.54937507023554,101.94858368940369,300,34
sarima,30d,rmse,5019,62.22830352840041,59.527995601641095,64.60713932240326,300,34
ensemble,7d,rmse,1176,57.57968041210376,52.7090674531171,62.02736381027332,300,21
lstm,7d,rmse,1176,88.4346557442787,76.66336912883182,99.49199043586304,300,21
sarima,7d,rmse,1176,59.46104163406509,55.156493453283446,64.50465658848394,300,21
